       t     Original        Noisy      AmpFilt     FreqFilt
  0.0000       1.0000       1.1938       1.0046       1.0427
  0.0010       0.9995       1.1627       1.0038       1.0468
  0.0020       0.9981       1.0955       1.0021       1.0463
  0.0029       0.9958       1.1204       0.9994       1.0411
  0.0039       0.9925       1.0880       0.9957       1.0314
  0.0049       0.9883       0.8076       0.9912       1.0176
  0.0059       0.9831       0.7899       0.9857       1.0004
  0.0068       0.9770       0.8368       0.9792       0.9805
  0.0078       0.9700       0.8479       0.9719       0.9589
  0.0088       0.9621       1.0142       0.9636       0.9364
  0.0098       0.9533       1.1172       0.9545       0.9140
  0.0107       0.9436       0.9417       0.9444       0.8924
  0.0117       0.9330       0.8086       0.9334       0.8726
  0.0127       0.9215       0.9059       0.9216       0.8548
  0.0137       0.9092       0.7406       0.9089       0.8396
  0.0146       0.8960       1.0345       0.8953       0.8270
  0.0156       0.8819       0.9085       0.8809       0.8168
  0.0166       0.8670       0.7692       0.8657       0.8087
  0.0176       0.8514       0.6541       0.8496       0.8022
  0.0186       0.8349       1.0112       0.8328       0.7968
  0.0195       0.8176       0.6816       0.8152       0.7915
  0.0205       0.7995       0.6093       0.7968       0.7857
  0.0215       0.7807       0.8925       0.7776       0.7787
  0.0225       0.7612       0.5621       0.7577       0.7698
  0.0234       0.7410       0.8428       0.7371       0.7585
  0.0244       0.7200       0.7751       0.7159       0.7444
  0.0254       0.6984       0.7724       0.6939       0.7274
  0.0264       0.6761       0.8359       0.6713       0.7074
  0.0273       0.6532       0.6616       0.6480       0.6846
  0.0283       0.6296       0.4858       0.6242       0.6593
  0.0293       0.6055       0.6439       0.5997       0.6320
  0.0303       0.5808       0.7218       0.5747       0.6031
  0.0313       0.5556       0.6589       0.5492       0.5732
  0.0322       0.5298       0.3587       0.5231       0.5428
  0.0332       0.5035       0.5402       0.4966       0.5123
  0.0342       0.4768       0.3142       0.4695       0.4821
  0.0352       0.4496       0.6166       0.4421       0.4524
  0.0361       0.4220       0.3041       0.4142       0.4233
  0.0371       0.3940       0.3568       0.3859       0.3947
  0.0381       0.3656       0.4845       0.3573       0.3665
  0.0391       0.3369       0.5096       0.3283       0.3385
  0.0400       0.3078       0.4632       0.2990       0.3102
  0.0410       0.2785       0.2757       0.2695       0.2813
  0.0420       0.2489       0.1260       0.2397       0.2515
  0.0430       0.2191       0.3220       0.2096       0.2204
  0.0439       0.1891       0.0345       0.1794       0.1879
  0.0449       0.1589       0.0326       0.1490       0.1537
  0.0459       0.1285       0.0821       0.1184       0.1179
  0.0469       0.0980      -0.0367       0.0878       0.0807
  0.0479       0.0674       0.0587       0.0570       0.0423
  0.0488       0.0368       0.1169       0.0262       0.0032
  0.0498       0.0061      -0.1319      -0.0046      -0.0363
  0.0508      -0.0245      -0.2201      -0.0354      -0.0755
  0.0518      -0.0552      -0.0366      -0.0662      -0.1139
  0.0527      -0.0858       0.0435      -0.0969      -0.1510
  0.0537      -0.1163       0.0677      -0.1275      -0.1865
  0.0547      -0.1467      -0.2954      -0.1580      -0.2199
  0.0557      -0.1770      -0.0805      -0.1884      -0.2510
  0.0566      -0.2071      -0.3843      -0.2186      -0.2797
  0.0576      -0.2370      -0.3966      -0.2486      -0.3062
  0.0586      -0.2667      -0.3214      -0.2783      -0.3306
  0.0596      -0.2962      -0.4491      -0.3078      -0.3533
  0.0605      -0.3253      -0.2740      -0.3370      -0.3747
  0.0615      -0.3542      -0.5324      -0.3658      -0.3952
  0.0625      -0.3827      -0.5690      -0.3944      -0.4153
  0.0635      -0.4108      -0.5879      -0.4225      -0.4356
  0.0645      -0.4386      -0.3439      -0.4503      -0.4564
  0.0654      -0.4660      -0.6192      -0.4776      -0.4780
  0.0664      -0.4929      -0.3452      -0.5045      -0.5007
  0.0674      -0.5194      -0.3253      -0.5309      -0.5246
  0.0684      -0.5453      -0.3737      -0.5568      -0.5496
  0.0693      -0.5708      -0.6263      -0.5822      -0.5755
  0.0703      -0.5957      -0.4564      -0.6071      -0.6022
  0.0713      -0.6201      -0.7362      -0.6313      -0.6293
  0.0723      -0.6438      -0.8402      -0.6550      -0.6564
  0.0732      -0.6670      -0.7583      -0.6781      -0.6830
  0.0742      -0.6895      -0.6770      -0.7005      -0.7089
  0.0752      -0.7114      -0.6767      -0.7223      -0.7337
  0.0762      -0.7327      -0.8346      -0.7433      -0.7571
  0.0771      -0.7532      -0.6967      -0.7637      -0.7790
  0.0781      -0.7730      -0.7916      -0.7834      -0.7992
  0.0791      -0.7921      -0.8717      -0.8023      -0.8180
  0.0801      -0.8105      -0.7160      -0.8205      -0.8352
  0.0811      -0.8280      -1.0109      -0.8379      -0.8513
  0.0820      -0.8449      -0.8688      -0.8545      -0.8663
  0.0830      -0.8609      -0.8844      -0.8703      -0.8807
  0.0840      -0.8761      -0.7395      -0.8853      -0.8946
  0.0850      -0.8904      -1.0056      -0.8994      -0.9083
  0.0859      -0.9040      -1.0044      -0.9128      -0.9219
  0.0869      -0.9167      -0.8640      -0.9252      -0.9356
  0.0879      -0.9285      -0.7424      -0.9368      -0.9494
  0.0889      -0.9395      -1.0691      -0.9475      -0.9631
  0.0898      -0.9495      -1.0902      -0.9573      -0.9767
  0.0908      -0.9587      -1.0362      -0.9662      -0.9897
  0.0918      -0.9670      -0.9934      -0.9742      -1.0021
  0.0928      -0.9743      -0.8487      -0.9812      -1.0134
  0.0938      -0.9808      -1.0768      -0.9874      -1.0233
  0.0947      -0.9863      -1.0109      -0.9926      -1.0315
  0.0957      -0.9909      -1.1275      -0.9969      -1.0378
  0.0967      -0.9946      -0.9147      -1.0003      -1.0420
  0.0977      -0.9973      -1.0466      -1.0027      -1.0440
  0.0986      -0.9991      -1.1721      -1.0041      -1.0437
  0.0996      -0.9999      -0.9940      -1.0047      -1.0414
  0.1006      -0.9998      -1.1286      -1.0042      -1.0372
  0.1016      -0.9988      -0.9792      -1.0029      -1.0313
  0.1025      -0.9968      -1.0612      -1.0006      -1.0240
  0.1035      -0.9939      -1.0712      -0.9973      -1.0156
  0.1045      -0.9901      -0.8695      -0.9931      -1.0065
  0.1055      -0.9853      -0.9704      -0.9880      -0.9970
  0.1064      -0.9796      -0.9590      -0.9819      -0.9873
  0.1074      -0.9729      -1.0015      -0.9749      -0.9775
  0.1084      -0.9654      -0.9488      -0.9670      -0.9679
  0.1094      -0.9569      -0.9584      -0.9582      -0.9585
  0.1104      -0.9476      -0.9813      -0.9485      -0.9492
  0.1113      -0.9373      -0.8783      -0.9379      -0.9400
  0.1123      -0.9262      -1.1013      -0.9264      -0.9307
  0.1133      -0.9142      -0.9617      -0.9141      -0.9211
  0.1143      -0.9013      -0.8672      -0.9008      -0.9111
  0.1152      -0.8876      -0.8420      -0.8868      -0.9005
  0.1162      -0.8731      -0.8359      -0.8719      -0.8892
  0.1172      -0.8577      -0.9713      -0.8562      -0.8770
  0.1182      -0.8416      -0.8317      -0.8396      -0.8639
  0.1191      -0.8246      -0.6775      -0.8223      -0.8499
  0.1201      -0.8068      -0.9118      -0.8042      -0.8349
  0.1211      -0.7883      -0.9804      -0.7854      -0.8191
  0.1221      -0.7691      -0.6679      -0.7658      -0.8026
  0.1230      -0.7491      -0.8640      -0.7455      -0.7854
  0.1240      -0.7285      -0.7117      -0.7245      -0.7676
  0.1250      -0.7071      -0.5969      -0.7028      -0.7493
  0.1260      -0.6851      -0.8071      -0.6804      -0.7304
  0.1270      -0.6624      -0.8577      -0.6574      -0.7109
  0.1279      -0.6391      -0.8020      -0.6338      -0.6908
  0.1289      -0.6152      -0.6439      -0.6096      -0.6697
  0.1299      -0.5908      -0.5726      -0.5848      -0.6477
  0.1309      -0.5657      -0.6599      -0.5595      -0.6244
  0.1318      -0.5402      -0.5858      -0.5336      -0.5995
  0.1328      -0.5141      -0.3997      -0.5073      -0.5730
  0.1338      -0.4876      -0.4643      -0.4804      -0.5445
  0.1348      -0.4605      -0.4630      -0.4531      -0.5141
  0.1357      -0.4331      -0.5926      -0.4254      -0.4817
  0.1367      -0.4052      -0.5515      -0.3973      -0.4473
  0.1377      -0.3770      -0.5610      -0.3688      -0.4112
  0.1387      -0.3484      -0.2785      -0.3399      -0.3737
  0.1396      -0.3195      -0.2405      -0.3108      -0.3351
  0.1406      -0.2903      -0.4091      -0.2813      -0.2959
  0.1416      -0.2608      -0.2913      -0.2516      -0.2566
  0.1426      -0.2311      -0.1592      -0.2217      -0.2177
  0.1436      -0.2011      -0.1081      -0.1915      -0.1799
  0.1445      -0.1710      -0.1075      -0.1612      -0.1436
  0.1455      -0.1407      -0.1919      -0.1307      -0.1091
  0.1465      -0.1102      -0.1371      -0.1000      -0.0769
  0.1475      -0.0797      -0.0099      -0.0693      -0.0469
  0.1484      -0.0491       0.0807      -0.0386      -0.0194
  0.1494      -0.0184       0.0078      -0.0077       0.0059
  0.1504       0.0123       0.0057       0.0231       0.0292
  0.1514       0.0429       0.1837       0.0539       0.0509
  0.1523       0.0736      -0.0466       0.0846       0.0714
  0.1533       0.1041       0.0150       0.1153       0.0912
  0.1543       0.1346      -0.0022       0.1459       0.1110
  0.1553       0.1649       0.2833       0.1763       0.1312
  0.1563       0.1951       0.0455       0.2065       0.1524
  0.1572       0.2251       0.3310       0.2366       0.1749
  0.1582       0.2549       0.0652       0.2664       0.1989
  0.1592       0.2844       0.2214       0.2960       0.2247
  0.1602       0.3137       0.3296       0.3253       0.2522
  0.1611       0.3427       0.2770       0.3543       0.2813
  0.1621       0.3713       0.2165       0.3830       0.3118
  0.1631       0.3996       0.5800       0.4113       0.3433
  0.1641       0.4276       0.2881       0.4392       0.3753
  0.1650       0.4551       0.3597       0.4668       0.4075
  0.1660       0.4822       0.3926       0.4938       0.4394
  0.1670       0.5088       0.6381       0.5204       0.4704
  0.1680       0.5350       0.3717       0.5465       0.5004
  0.1689       0.5607       0.5658       0.5721       0.5290
  0.1699       0.5858       0.5693       0.5972       0.5560
  0.1709       0.6104       0.4808       0.6217       0.5814
  0.1719       0.6344       0.7744       0.6456       0.6053
  0.1729       0.6578       0.5259       0.6689       0.6278
  0.1738       0.6806       0.4945       0.6916       0.6492
  0.1748       0.7028       0.7412       0.7136       0.6698
  0.1758       0.7242       0.5536       0.7350       0.6898
  0.1768       0.7451       0.7372       0.7557       0.7096
  0.1777       0.7652       0.9185       0.7756       0.7294
  0.1787       0.7846       0.7461       0.7948       0.7495
  0.1797       0.8032       0.9081       0.8133       0.7697
  0.1807       0.8211       0.7560       0.8310       0.7903
  0.1816       0.8382       0.7456       0.8479       0.8110
  0.1826       0.8546       0.9997       0.8641       0.8317
  0.1836       0.8701       0.6947       0.8794       0.8519
  0.1846       0.8848       0.8498       0.8939       0.8715
  0.1855       0.8987       0.7732       0.9075       0.8898
  0.1865       0.9117       0.9153       0.9203       0.9066
  0.1875       0.9239       0.8839       0.9323       0.9215
  0.1885       0.9352       1.0143       0.9433       0.9341
  0.1895       0.9456       1.1356       0.9535       0.9443
  0.1904       0.9551       0.9030       0.9627       0.9519
  0.1914       0.9638       0.7694       0.9711       0.9570
  0.1924       0.9715       0.9044       0.9785       0.9596
  0.1934       0.9783       0.8414       0.9851       0.9600
  0.1943       0.9842       1.1311       0.9906       0.9586
  0.1953       0.9892       0.9135       0.9953       0.9559
  0.1963       0.9932       1.0847       0.9990       0.9521
  0.1973       0.9963       1.0288       1.0018       0.9480
  0.1982       0.9985       0.9572       1.0037       0.9438
  0.1992       0.9997       0.8380       1.0046       0.9401
  0.2002       1.0000       1.0438       1.0045       0.9371
  0.2012       0.9993       1.0324       1.0035       0.9351
  0.2021       0.9977       0.9223       1.0016       0.9341
  0.2031       0.9952       0.8379       0.9987       0.9342
  0.2041       0.9917       0.9148       0.9949       0.9351
  0.2051       0.9873       0.7881       0.9901       0.9367
  0.2061       0.9820       0.7937       0.9845       0.9384
  0.2070       0.9757       0.8727       0.9778       0.9400
  0.2080       0.9685       0.9933       0.9703       0.9409
  0.2090       0.9604       1.0494       0.9619       0.9405
  0.2100       0.9514       1.0098       0.9525       0.9385
  0.2109       0.9415       1.0941       0.9423       0.9345
  0.2119       0.9308       0.9796       0.9311       0.9280
  0.2129       0.9191       0.9512       0.9191       0.9188
  0.2139       0.9066       0.7876       0.9062       0.9069
  0.2148       0.8932       0.7202       0.8925       0.8922
  0.2158       0.8790       0.7791       0.8779       0.8747
  0.2168       0.8640       1.0197       0.8625       0.8548
  0.2178       0.8481       0.9437       0.8463       0.8328
  0.2188       0.8315       0.6616       0.8293       0.8089
  0.2197       0.8140       0.9209       0.8115       0.7838
  0.2207       0.7958       0.7650       0.7930       0.7577
  0.2217       0.7769       0.7344       0.7737       0.7313
  0.2227       0.7572       0.7723       0.7537       0.7050
  0.2236       0.7368       0.5724       0.7329       0.6791
  0.2246       0.7157       0.5805       0.7115       0.6541
  0.2256       0.6940       0.7010       0.6894       0.6301
  0.2266       0.6716       0.4765       0.6667       0.6075
  0.2275       0.6485       0.5155       0.6433       0.5864
  0.2285       0.6249       0.5390       0.6193       0.5666
  0.2295       0.6006       0.5385       0.5948       0.5483
  0.2305       0.5758       0.7355       0.5697       0.5312
  0.2314       0.5505       0.5451       0.5440       0.5151
  0.2324       0.5246       0.4478       0.5179       0.4997
  0.2334       0.4982       0.3592       0.4912       0.4848
  0.2344       0.4714       0.5732       0.4641       0.4699
  0.2354       0.4441       0.6268       0.4365       0.4547
  0.2363       0.4164       0.5188       0.4086       0.4387
  0.2373       0.3883       0.4899       0.3802       0.4215
  0.2383       0.3599       0.3241       0.3515       0.4028
  0.2393       0.3311       0.1939       0.3225       0.3822
  0.2402       0.3020       0.2086       0.2931       0.3595
  0.2412       0.2726       0.4079       0.2635       0.3344
  0.2422       0.2430       0.4331       0.2337       0.3066
  0.2432       0.2131       0.1448       0.2036       0.2762
  0.2441       0.1830       0.1784       0.1733       0.2432
  0.2451       0.1528       0.1096       0.1429       0.2075
  0.2461       0.1224       0.2233       0.1123       0.1695
  0.2471       0.0919       0.2740       0.0816       0.1292
  0.2480       0.0613       0.1812       0.0509       0.0873
  0.2490       0.0307      -0.1451       0.0201       0.0439
  0.2500       0.0000       0.1357      -0.0108      -0.0004
  0.2510      -0.0307       0.1062      -0.0416      -0.0450
  0.2520      -0.0613      -0.1327      -0.0723      -0.0896
  0.2529      -0.0919      -0.1605      -0.1030      -0.1334
  0.2539      -0.1224      -0.2477      -0.1336      -0.1761
  0.2549      -0.1528      -0.2772      -0.1641      -0.2172
  0.2559      -0.1830      -0.0735      -0.1945      -0.2563
  0.2568      -0.2131      -0.4060      -0.2246      -0.2931
  0.2578      -0.2430      -0.3847      -0.2545      -0.3275
  0.2588      -0.2726      -0.2789      -0.2842      -0.3594
  0.2598      -0.3020      -0.4952      -0.3136      -0.3888
  0.2607      -0.3311      -0.5011      -0.3428      -0.4158
  0.2617      -0.3599      -0.4492      -0.3716      -0.4408
  0.2627      -0.3883      -0.4373      -0.4000      -0.4639
  0.2637      -0.4164      -0.3177      -0.4281      -0.4855
  0.2646      -0.4441      -0.4862      -0.4558      -0.5060
  0.2656      -0.4714      -0.5458      -0.4830      -0.5258
  0.2666      -0.4982      -0.5271      -0.5098      -0.5453
  0.2676      -0.5246      -0.5454      -0.5362      -0.5647
  0.2686      -0.5505      -0.7062      -0.5620      -0.5843
  0.2695      -0.5758      -0.5781      -0.5873      -0.6042
  0.2705      -0.6006      -0.7465      -0.6120      -0.6246
  0.2715      -0.6249      -0.6935      -0.6361      -0.6455
  0.2725      -0.6485      -0.4811      -0.6597      -0.6667
  0.2734      -0.6716      -0.6713      -0.6826      -0.6882
  0.2744      -0.6940      -0.6600      -0.7049      -0.7097
  0.2754      -0.7157      -0.7483      -0.7265      -0.7310
  0.2764      -0.7368      -0.8534      -0.7475      -0.7518
  0.2773      -0.7572      -0.7169      -0.7677      -0.7720
  0.2783      -0.7769      -0.6689      -0.7872      -0.7912
  0.2793      -0.7958      -0.6896      -0.8060      -0.8095
  0.2803      -0.8140      -0.9912      -0.8240      -0.8267
  0.2813      -0.8315      -0.8843      -0.8413      -0.8427
  0.2822      -0.8481      -0.9583      -0.8577      -0.8576
  0.2832      -0.8640      -0.8617      -0.8734      -0.8714
  0.2842      -0.8790      -1.0563      -0.8882      -0.8844
  0.2852      -0.8932      -1.0273      -0.9022      -0.8967
  0.2861      -0.9066      -0.7148      -0.9153      -0.9085
  0.2871      -0.9191      -0.7328      -0.9276      -0.9199
  0.2881      -0.9308      -0.9046      -0.9390      -0.9311
  0.2891      -0.9415      -1.0683      -0.9495      -0.9421
  0.2900      -0.9514      -0.8562      -0.9591      -0.9530
  0.2910      -0.9604      -0.9171      -0.9679      -0.9637
  0.2920      -0.9685      -0.7980      -0.9757      -0.9741
